Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
 	Javier Portillo	m.06mkj	Spain	people.person.nationality
 	Tobias Haupt	m.0345h	Germany	people.person.nationality
 	Matthias Rahmann	m.0345h	Germany	people.person.nationality
 	Jaroslaw Stankiewicz	m.0345h	Germany	people.person.nationality
 	Ibrahim Onay	m.01znc_	Turkey	people.person.nationality
 	Alex Alves â€ 	m.015fr	Brazil	people.person.nationality
 	Tim Ostermann	m.0345h	Germany	people.person.nationality
 	Dimitrios Nalitzis	m.035qy	Greece	people.person.nationality
 	Ousmane Dabo	m.0f8l9c	France	people.person.nationality
 	Gian-Pietro Orelli	m.0345h	Germany	people.person.nationality
 	Steven Naismith	m.06q1r	Scotland	people.person.nationality
 	Fevzi Tuncay	m.01znc_	Turkey	people.person.nationality
 	Tjeerd Korf	m.059j2	Netherlands	people.person.nationality
 	Avraham Tikva	m.03spz	Israel	people.person.nationality
 	Markus Theil	m.0345h	Germany	people.person.nationality
 	Alexander GÃ¶hring	m.047lj	Kazakhstan	people.person.nationality
 	Helge Bittner	m.0345h	Germany	people.person.nationality
 	Andreas KlauÃŸer	m.0345h	Germany	people.person.nationality
 	Fabrizio Hayer	m.0345h	Germany	people.person.nationality
 	Bujar Gashi	m.0jdx	Albania	people.person.nationality
 	Ersin Mehmedovic	m.077qn	Serbia	people.person.nationality
 	Michael Stuckmann	m.0345h	Germany	people.person.nationality
 	Ragnar Zaulich	m.0345h	Germany	people.person.nationality
 	Antun Kovacic	m.0chghy	Australia	people.person.nationality
 	Rafael Clavero	m.06mkj	Spain	people.person.nationality
 	RenÃ© Ochs	m.0345h	Germany	people.person.nationality
 	Dennis Lamby	m.0345h	Germany	people.person.nationality
 	AndrÃ© Trulsen	m.0345h	Germany	people.person.nationality
 	Niyazi HÃ¼seyinoglu	m.01znc_	Turkey	people.person.nationality
 	Daniel Rios	m.0345h	Germany	people.person.nationality
 	Emrah EyÃ¼boglu	m.01znc_	Turkey	people.person.nationality
 	Martin Kushev	m.015qh	Bulgaria	people.person.nationality
 	Tomislav Maric	m.01pj7	Croatia	people.person.nationality
 	Daniel Reule	m.0345h	Germany	people.person.nationality
 	Zoran Barisic	m.0h7x	Austria	people.person.nationality
 	Nourreddine Semghoun	m.0345h	Germany	people.person.nationality
 	Robert Palikuca	m.01pj7	Croatia	people.person.nationality
 	Ali Eren Beserler	m.01znc_	Turkey	people.person.nationality
 	Jan-Paul Schulke	m.0345h	Germany	people.person.nationality
