Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
m.0b6djpm	Edward Darmanin	m.04v3q	Malta	people.person.nationality
m.0b6l1mw	Miljan Zeković	m.077qn	Serbia	people.person.nationality
m.063_kzs	Hermann Stöcker	m.0345h	Germany	people.person.nationality
m.02qt8wp	Tom Conway	m.03rt9	Ireland	people.person.nationality
m.05zz_vl	David Brown	m.06q1r	Scotland	people.person.nationality
m.04jdr48	Tony Byrne	m.03rt9	Ireland	people.person.nationality
m.0br_lsc	Aldo Ballarin	m.03rjj	Italy	people.person.nationality
m.04dz768	Yuri Vasenin	m.06bnz	Russia	people.person.nationality
m.09k71sj	John McDaid	m.03rt9	Ireland	people.person.nationality
m.02r782z	Ion Nunweiller	m.06c1y	Romania	people.person.nationality
m.0b6kc41	Jimmy Briffa	m.04v3q	Malta	people.person.nationality
m.0b77s8b	Virginio De Paoli	m.03rjj	Italy	people.person.nationality
m.07k6yk9	Torsten Lindberg	m.0d0vqn	Sweden	people.person.nationality
m.0h7p3jd	Imre Kovács	m.03gj2	Hungary	people.person.nationality
m.0b6k28t	Walter McFarland	m.05bcl	Northern Ireland	people.person.nationality
m.0h51_65	Jorginho	m.015fr	Brazil	people.person.nationality
m.04f07h_	Boris Kopeikin	m.06bnz	Russia	people.person.nationality
m.0dlq9__	Julius Kovazh	m.0h7x	Austria	people.person.nationality
m.02r458w	Derek O'Brien	m.03rt9	Ireland	people.person.nationality
m.0521v24	Harry Williams	m.02jx1	England	people.person.nationality
m.0d1b7z	Saleh Selim	m.02k54	Egypt	people.person.nationality
m.04f3dfk	Dieter Erler	m.0345h	Germany	people.person.nationality
m.076vyw7	Brian McLaughlin	m.06q1r	Scotland	people.person.nationality
m.04n52f9	Tom Murphy	m.02jx1	England	people.person.nationality
m.04gr225	Aleksandr Chumakov	m.06bnz	Russia	people.person.nationality
m.06w2664	George Thomas	m.0j5g9	Wales	people.person.nationality
m.0bhc30s	Antón Arieta	m.06mkj	Spain	people.person.nationality
m.0gyx06y	James Pearson	m.02jx1	England	people.person.nationality
m.03cnt41	Zvonko Ivezić	m.077qn	Serbia	people.person.nationality
m.06603tq	Ian Crawford	m.06q1r	Scotland	people.person.nationality
m.0h55lsv	Gergő Kovács	m.03gj2	Hungary	people.person.nationality
m.04gk5bv	Maryan Plakhetko	m.07t21	Ukraine	people.person.nationality
m.0dsbv4b	Elvis Anthony	m.0l3h	Antigua and Barbuda	people.person.nationality
m.0ds5f49	Edlorn Williams	m.0l3h	Antigua and Barbuda	people.person.nationality
m.02r7883	George McLean	m.06q1r	Scotland	people.person.nationality
m.0gjf15n	Béla Egresi	m.03gj2	Hungary	people.person.nationality
m.09glr57	Bent Martin	m.0k6nt	Denmark	people.person.nationality
m.0dltdrg	Walter Glechner	m.0h7x	Austria	people.person.nationality
m.09gfz1h	Victor Lemberechts	m.0154j	Belgium	people.person.nationality
m.0pcth6t	Reis	m.0h7x	Austria	people.person.nationality
m.0dlt432	Rudolf Ceyka	m.0h7x	Austria	people.person.nationality
m.02qt8p4	Fran Hitchcock	m.03rt9	Ireland	people.person.nationality
m.05mx052	Bertil Nordahl	m.0d0vqn	Sweden	people.person.nationality
m.07k6jx7	Gordon Clayton	m.02jx1	England	people.person.nationality
m.0gjd3zk	Stanoje Jocić	m.077qn	Serbia	people.person.nationality
m.0g9yfnx	Manuel Ruiz Sosa	m.06mkj	Spain	people.person.nationality
m.04_00fn	William Stewart	m.06q1r	Scotland	people.person.nationality
m.05c4v33	Gábor Horváth	m.03gj2	Hungary	people.person.nationality
m.02qy_5r	Joe Burke	m.03rt9	Ireland	people.person.nationality
m.04gt9vd	Vladimir Petrov	m.06bnz	Russia	people.person.nationality
m.0805vn4	Mats Jingblad	m.0d0vqn	Sweden	people.person.nationality
m.0hn99b1	Octavian Popescu	m.06c1y	Romania	people.person.nationality
m.04gh31t	John Campbell	m.03rt9	Ireland	people.person.nationality
m.080n2py	Ernest Spiteri-Gonzi	m.04v3q	Malta	people.person.nationality
m.0bs8dbb	Mario Tontodonati	m.03rjj	Italy	people.person.nationality
m.0h3x8wd	Konstantinos Chatzis	m.035qy	Greece	people.person.nationality
m.027zz93	Zeze	m.01pj7	Croatia	people.person.nationality
m.0hr090q	Georgi Ivanov	m.015qh	Bulgaria	people.person.nationality
m.080cg9t	Vladimir Yurin	m.06bnz	Russia	people.person.nationality
m.0416j6d	Bruno Belin	m.01pj7	Croatia	people.person.nationality
m.0fm5qx	Chrys	m.0j5g9	Wales	people.person.nationality
m.080l5b7	Jean Grumellon	m.0f8l9c	France	people.person.nationality
m.0hr5jxk	Alex Jones	m.0j5g9	Wales	people.person.nationality
m.09v7g6v	Richard Young	m.02jx1	England	people.person.nationality
m.03c55h_	Ivan Hlevnjak	m.01pj7	Croatia	people.person.nationality
m.04gqr44	Sajjad Hussein	m.0d05q4	Iraq	people.person.nationality
m.0gfghdw	Kai Pahlman	m.02vzc	Finland	people.person.nationality
m.04q008c	Willie Waddell	m.06q1r	Scotland	people.person.nationality
m.0gjd5b2	Ralf Schulenberg	m.0345h	Germany	people.person.nationality
m.0gtw3cb	Pavel Hoftych	m.01mjq	Czech Republic	people.person.nationality
m.0g58v8q	Bryn Jones	m.0j5g9	Wales	people.person.nationality
m.06_w2l7	Jimmy Smith	m.06q1r	Scotland	people.person.nationality
m.040493z	Erol Togay	m.01znc_	Turkey	people.person.nationality
m.04f4tl7	Leonid Nazarenko	m.06bnz	Russia	people.person.nationality
m.0dr0v0	Jozef Bomba	m.06npd	Slovakia	people.person.nationality
m.0hr6msh	Jé	m.06mzp	Switzerland	people.person.nationality
m.0ds2w41	Eugenio	m.03rjj	Italy	people.person.nationality
m.09k6_3d	Matteo Matteazzi	m.03rjj	Italy	people.person.nationality
m.0hgn4bm	Mohammed Salam	m.0d05q4	Iraq	people.person.nationality
m.0dgpyv7	Béla Sárosi	m.03gj2	Hungary	people.person.nationality
m.0ds4lln	Bill	m.05qkp	Papua New Guinea	people.person.nationality
m.07s5mv6	Tommy Prest	m.06q1r	Scotland	people.person.nationality
m.04f20n2	Sergei Prigoda	m.06bnz	Russia	people.person.nationality
m.05q8146	Tommy Dunne	m.03rt9	Ireland	people.person.nationality
m.0hnfbqx	Jimmy Smith	m.06q1r	Scotland	people.person.nationality
m.063yq_k	Ernest Williams	m.02jx1	England	people.person.nationality
m.0b755sq	Giuseppe Vavassori	m.03rjj	Italy	people.person.nationality
m.04mxwz8	Manol Manolov	m.015qh	Bulgaria	people.person.nationality
m.03qc_bt	Ljubiša Rajković	m.077qn	Serbia	people.person.nationality
m.0gw_tz9	Vukašin Petranović	m.056vv	Montenegro	people.person.nationality
m.05q9d9f	Mario Ortiz	m.0345_	Guatemala	people.person.nationality
m.0hn8zz9	Jan Berg	m.05b4w	Norway	people.person.nationality
m.0hr0zh7	Syazwan Yusof	m.09pmkv	Malaysia	people.person.nationality
m.051wnjc	Jack Hall	m.03rt9	Ireland	people.person.nationality
m.0dsff5k	Alain Montwani	m.0hg5	Andorra	people.person.nationality
m.02qyy02	Tommy Kelly	m.03rt9	Ireland	people.person.nationality
m.03qdrtf	George Robb	m.02jx1	England	people.person.nationality
m.0dln50p	Vado	m.05r4w	Portugal	people.person.nationality
m.065_8d2	Frank Beattie	m.06q1r	Scotland	people.person.nationality
m.09gp7r4	Andreas Morisbak	m.05b4w	Norway	people.person.nationality
m.0523yf1	James Brown	m.05bcl	Northern Ireland	people.person.nationality
m.09rwtlm	Ralf Oehri	m.04j53	Liechtenstein	people.person.nationality
m.0b74j1c	Pasquale Vivolo	m.03rjj	Italy	people.person.nationality
m.02r865_	Roberto Dias	m.015fr	Brazil	people.person.nationality
m.02pm87n	Mogens Haastrup	m.0k6nt	Denmark	people.person.nationality
m.0274x7l	James Brown	m.05bcl	Northern Ireland	people.person.nationality
m.04ljj53	Ivan Mozer	m.06bnz	Russia	people.person.nationality
m.04zysg7	Josef Geryk	m.06npd	Slovakia	people.person.nationality
m.09gghgt	Gheorghe Ene	m.06c1y	Romania	people.person.nationality
m.04f43gq	Sergei Shvetsov	m.0d0kn	Georgia	people.person.nationality
m.05zjlp	John Fitzpatrick	m.09c7w0	United States of America	people.person.nationality
m.04yb8x_	Boris Tatushin	m.06bnz	Russia	people.person.nationality
m.0g5536j	Robert Ferguson	m.06q1r	Scotland	people.person.nationality
m.0h528k2	Benjamin	m.0345h	Germany	people.person.nationality
m.02vpj95	John Fitzpatrick	m.09c7w0	United States of America	people.person.nationality
m.0b6dq3q	Brian Roberts	m.06q1r	Scotland	people.person.nationality
m.03qd1x9	Abdul Aziz Ismail	m.09pmkv	Malaysia	people.person.nationality
m.093hw0	Dirceu Lopes	m.015fr	Brazil	people.person.nationality
m.0j3qdsj	Ahmed Mohamed	m.0697s	Qatar	people.person.nationality
m.04f5ncw	Aleksandr Maksimenkov	m.06bnz	Russia	people.person.nationality
m.05fb8nc	Steinar Pettersen	m.05b4w	Norway	people.person.nationality
m.0ngscjn	Bruno	m.05r4w	Portugal	people.person.nationality
m.04ycwsw	James Brown	m.05bcl	Northern Ireland	people.person.nationality
m.0ddbns4	Jack Hall	m.03rt9	Ireland	people.person.nationality
m.02qz072	John Murphy	m.03rt9	Ireland	people.person.nationality
m.04zzm00	Alojz Fandel	m.06npd	Slovakia	people.person.nationality
m.09gjycn	Dumitru Nicolae	m.06c1y	Romania	people.person.nationality
m.0gmcgb7	John King	m.03rt9	Ireland	people.person.nationality
m.09gp0v8	Matías Pérez	m.0jgd	Argentina	people.person.nationality
